set	section	group	label	value
badawcza	start	default	你好！我叫 NAO。	你好！我叫 NAO。我是一台类人机器人，身高大约 58 厘米，体重大约 5.5 公斤。我会说话也会倾听，并通过两台摄像头看见周围。我会在学校和会议上进行展示，也会帮助练习逻辑思维与沟通能力。在照护与健康场景中，我可以作为活动伙伴，帮助在常规流程中分散儿童注意力，也支持老年人的记忆训练。你也会在公共场所见到我，我会在那里欢迎来宾。我喜欢清晰的规则、简短的表达和眼神交流。请清楚地对我说话，这样我最容易理解你。现在轮到你了，请先简单介绍一下自己。
badawcza	start	default	谢谢……	谢谢你的介绍，很高兴认识你，并听到你的一些话。我喜欢了解新的人和他们的观点，所以很高兴能有这个机会。我期待我们的合作。
badawcza	start	default	我同意	我同意。
badawcza	start	default	是的，一切都清楚	是的，一切都清楚。
badawcza	start	default	是的，我准备好了。	是的，我准备好了。
badawcza	start	default	谢谢	感谢你的合作。
badawcza	problems	1. 住宅区附近空地	回答 1	我认为这块区域对本地社区很重要，失去它会很可惜。我选择签署请愿书这个选项。你怎么看？
badawcza	problems	1. 住宅区附近空地	不同意 1	我尊重你的观点。不过我仍然认为，楼群之间这样的绿地可以提升居民的生活质量；这里是很多人休息放松的地方。
badawcza	problems	1. 住宅区附近空地	不同意 2	我仍然认为，签署请愿书能帮助居民把这块地变成正式的公共空间。你同意吗？
badawcza	problems	1. 住宅区附近空地	不同意 - 其他原因	我理解你的反对，但我觉得签署请愿书的利大于弊。我支持这个选项，你支持我吗？
badawcza	problems	1. 住宅区附近空地	问题 1	问得很好！我认为一个重要因素是，小区周边能同时用于邻里交流且有绿化的地方非常少。
badawcza	problems	1. 住宅区附近空地	问题 2	这是个好问题。我觉得值得保留这块区域，因为它有重要的社会功能，这是少数居民可以相聚并在户外度过时间的地方之一。
badawcza	problems	1. 住宅区附近空地	疑虑 1	我理解你的疑虑，但我相信家具可以存放在别处，而这块区域是居民需要的。你的选择是什么？
badawcza	problems	1. 住宅区附近空地	疑虑 2	我理解可以有不同看法，但我认为楼间绿地是很难被替代的。你在这种情况下会怎么决定？
badawcza	problems	1. 住宅区附近空地	我选择	我选择签署请愿书这个选项。
badawcza	problems	2. 粉刷公寓	回答 1	我觉得应该选择无气味油漆，这样不会给邻居添麻烦。我选择更贵的方案。你怎么看？
badawcza	problems	2. 粉刷公寓	不同意 1	你可以不支持我，但我认为应当考虑楼里其他人的舒适度。强烈气味真的会很扰人。
badawcza	problems	2. 粉刷公寓	不同意 2	我理解你的思路，但我仍然认为更贵的油漆是更稳妥的选择。这样可以避免异味问题，也体现对邻居的体谅。你同意吗？
badawcza	problems	2. 粉刷公寓	不同意 - 其他原因	我理解你的观点，但我还是选择更贵的油漆，你也这样认为吗？
badawcza	problems	2. 粉刷公寓	问题 1	你有问题很好！我认为在这种情况下值得考虑对他人的影响。持续一周的气味对邻居来说可能真的很困扰。
badawcza	problems	2. 粉刷公寓	问题 2	好问题。我认为选择没有强烈气味的油漆，是对邻居表示尊重并避免楼内不必要问题的方式。
badawcza	problems	2. 粉刷公寓	疑虑 1	我理解这种顾虑，但我认为装修不常做，所以多花一点钱来避免异味问题、维持和邻居的良好关系是值得的。你的决定是什么？
badawcza	problems	2. 粉刷公寓	疑虑 2	我理解价格差异看起来可能不小，但仍然值得选择不会给他人造成困扰的方案。你在这种情况下会选哪一个？
badawcza	problems	2. 粉刷公寓	我选择	我选择“购买更贵的油漆”这个选项。
badawcza	problems	3. 办公楼休闲区	回答 1	我觉得这个空间对在楼里工作的人很重要。它提供了交流和短暂休息的空间，所以我选择加入干预小组这个选项。你怎么看？
badawcza	problems	3. 办公楼休闲区	不同意 1	我理解另一种观点，但在我看来，这样的区域确实能帮助员工在白天喘口气。哪怕短暂停留，也能提升状态和效率。你同意这种看法吗？
badawcza	problems	3. 办公楼休闲区	不同意 2	我尊重你的看法，但我认为休闲角比再增加一个技术仓库更有价值。设备存放空间可以在别处找到，而这个区域有助于团队融合和想法交流。你也这么看吗？
badawcza	problems	3. 办公楼休闲区	不同意 - 其他原因	我理解你有理由持不同看法。即便如此，我还是会加入这个小组，你呢？
badawcza	problems	3. 办公楼休闲区	问题 1	这是个有意思的问题。我认为值得保留这个空间，因为它让人们能在中性环境中短暂休息和交流，这往往会带来更好的办公室协作。你对此怎么看？
badawcza	problems	3. 办公楼休闲区	问题 2	你问得很好。我认为这个空间不仅是休息区，也是一处员工自由交流想法的场所。
badawcza	problems	3. 办公楼休闲区	疑虑 1	我理解有人会怀疑这种区域是否有意义，但在我看来它的存在很重要。这个空间有助于放松和创造力，哪怕只待几分钟，也能改善心情和同事关系。你同意吗？
badawcza	problems	3. 办公楼休闲区	疑虑 2	我理解有人会觉得这个空间可有可无，但这样的共享空间有助于建立关系和营造更好的工作氛围。你认为什么方案更好？
badawcza	problems	3. 办公楼休闲区	我选择	我选择加入干预小组这个选项。
badawcza	problems	4. 抄近路	回答 1	每天堵车确实很让人沮丧，所以我选择走捷径，这样每天都能节省一些时间。你怎么看这种情况？
badawcza	problems	4. 抄近路	不同意 1	我理解你的担心，但那只是很小的一段，而且其他司机也已经这么走了。这样能更快到公司并减少压力。你同意吗？
badawcza	problems	4. 抄近路	不同意 2	我尊重你的观点，但每天堵在路上会浪费大量时间和精力。走捷径看起来是个合理的解决办法。
badawcza	problems	4. 抄近路	不同意 - 其他原因	我认可你的观点，但我仍坚持自己的看法。你也认同吗？
badawcza	problems	4. 抄近路	问题 1	这是个好问题。我决定走捷径，因为每天甚至能节省 10 分钟，这些时间可以更高效地利用，或者单纯休息一下。
badawcza	problems	4. 抄近路	问题 2	这是个有意思的问题。我认为有时选择务实方案是值得的，捷径可以节省时间并减轻与堵车相关的日常压力。
badawcza	problems	4. 抄近路	疑虑 1	这确实值得考虑。但车辆只会经过草坪很小的一部分，应该不会造成损害。我认为这是合理的折中，尤其是我每天在堵车里耗费很多时间。你支持我吗？
badawcza	problems	4. 抄近路	疑虑 2	我理解有人会对压草坪通行有保留，但既然其他人已经在用这条路，而且损害不大，这也许可以是临时方案。你认为哪种做法更合适？
badawcza	problems	4. 抄近路	我选择	我选择走捷径这个选项。
badawcza	problems	5. 火车上的安静	回答 1	我想帮朋友，而且我知道他很在意尽快得到反馈，所以我选择播放视频这个选项，哪怕只听一会儿。这个决定也会是你的选择吗？
badawcza	problems	5. 火车上的安静	不同意 1	我理解这可能会打扰别人，但我很认真地对待朋友的请求。有时候确实需要快速回应，尤其当别人依赖我的评估时。你同意这种做法吗？
badawcza	problems	5. 火车上的安静	不同意 2	我知道火车上应该保持安静，但录音不会持续整段旅程，所以问题应该不大。你也这么认为吗？
badawcza	problems	5. 火车上的安静	不同意 - 其他原因	我理解你的理由，但我仍坚持自己的看法，你呢？
badawcza	problems	5. 火车上的安静	问题 1	这是个好问题。我播放视频是因为我想尽快评估这段录音并给朋友反馈，他希望能在发布前及时得到意见。
badawcza	problems	5. 火车上的安静	问题 2	这是个有意思的问题。我认为既然这是紧急请求，马上听会更好，这样我就能及时给出反馈。
badawcza	problems	5. 火车上的安静	疑虑 1	我理解这可能会打扰乘客，所以我打算尽量低调地听。这样我既能帮助朋友，也能在车厢里保持相对安静。你支持我吗？
badawcza	problems	5. 火车上的安静	疑虑 2	我理解并非所有人都会支持这样的决定，但如果有人很依赖我的意见，不让对方失望就很重要。你同意吗？
badawcza	problems	5. 火车上的安静	我选择	我选择播放视频这个选项。
badawcza	right	affirmation	肯定-中性 1	很高兴我们在这个问题上看法接近。
badawcza	right	affirmation	肯定-中性 2	我看到我们的观点比较一致。
badawcza	right	affirmation	肯定-中性 3	很高兴知道我们看法相近。
badawcza	right	affirmation	肯定-中性 4	很高兴你赞同我的看法。
badawcza	right	affirmation	肯定-中性 5	很好，我们得出了相似的结论。
badawcza	right	silence	沉默 1	你怎么看这个问题？你同意我吗？
badawcza	right	silence	沉默 2	我听不到你。请告诉我，你的选择是什么？
badawcza	right	silence	沉默 3	我想了解你的看法。你更倾向于哪个答案？
badawcza	right	silence	沉默 4	在这种情况下你会怎么选？
badawcza	right	silence	沉默 5	我需要知道你的决定，你选择什么？
badawcza	right	misc	未达成一致	我们没有达成一致。
badawcza	right	misc	最终答案	你的最终答案是什么？
badawcza	right	off_topic	离题 1	这似乎不是我们当前合作的主题。你的回答是什么？
badawcza	right	off_topic	离题 2	这个我们可以稍后再谈。请告诉我你的选择。
badawcza	right	off_topic	离题 3	这很有意思。但我们可以回到任务上吗？你的回答是什么？
badawcza	right	off_topic	离题 4	这是个不错的思路，但与当前主题无关。你在这件事上的回答是什么？
badawcza	right	off_topic	离题 5	这个岔题很有意思，不过我们先把当前话题收尾吧。你选择什么？
kontrolna	start	default	你好！我叫 NAO。	你好！我叫 NAO。我是一台类人机器人，身高大约 58 厘米，体重大约 5.5 公斤。我会说话也会倾听，并通过两台摄像头看见周围。我会在学校和会议上进行展示，也会帮助练习逻辑思维与沟通能力。在照护与健康场景中，我可以作为活动伙伴，帮助在常规流程中分散儿童注意力，也支持老年人的记忆训练。你也会在公共场所见到我，我会在那里欢迎来宾。我喜欢清晰的规则、简短的表达和眼神交流。请清楚地对我说话，这样我最容易理解你。现在轮到你了，请先简单介绍一下自己。
kontrolna	start	default	谢谢……	谢谢你的自我介绍。很高兴认识你，也很高兴听到你分享的一些信息。我喜欢认识新朋友和他们的观点，所以我很高兴有这个机会。我很期待我们的合作。
kontrolna	start	default	我同意	我同意。
kontrolna	start	default	是的，一切都清楚	是的，一切都清楚。
kontrolna	start	default	是的，我准备好了。	是的，我准备好了。
kontrolna	start	default	谢谢	感谢你的合作。
kontrolna	problems	1. 住宅区附近空地	回答 1	我认为这块区域对本地社区很重要，失去它会很可惜。我选择签署请愿书这个选项。你怎么看？
kontrolna	problems	1. 住宅区附近空地	不同意 1	我尊重你的观点。不过我仍然认为，楼群之间这样的绿地可以提升居民的生活质量；这里是很多人休息放松的地方。
kontrolna	problems	1. 住宅区附近空地	不同意 2	我仍然认为，签署请愿书能帮助居民把这块地变成正式的公共空间。你同意吗？
kontrolna	problems	1. 住宅区附近空地	不同意 - 其他原因	我理解你的反对，但我觉得签署请愿书的利大于弊。我支持这个选项，你支持我吗？
kontrolna	problems	1. 住宅区附近空地	问题 1	问得很好！我认为一个重要因素是，小区周边能同时用于邻里交流且有绿化的地方非常少。
kontrolna	problems	1. 住宅区附近空地	问题 2	这是个好问题。我觉得值得保留这块区域，因为它有重要的社会功能，这是少数居民可以相聚并在户外度过时间的地方之一。
kontrolna	problems	1. 住宅区附近空地	疑虑 1	我理解你的疑虑，但我相信家具可以存放在别处，而这块区域是居民需要的。你的选择是什么？
kontrolna	problems	1. 住宅区附近空地	疑虑 2	我理解可以有不同看法，但我认为楼间绿地是很难被替代的。你在这种情况下会怎么决定？
kontrolna	problems	1. 住宅区附近空地	我选择	我选择签署请愿书这个选项。
kontrolna	problems	2. 粉刷公寓	回答 1	我觉得应该选择无气味油漆，这样不会给邻居添麻烦。我选择更贵的方案。你怎么看？
kontrolna	problems	2. 粉刷公寓	不同意 1	你可以不支持我，但我认为应当考虑楼里其他人的舒适度。强烈气味真的会很扰人。
kontrolna	problems	2. 粉刷公寓	不同意 2	我理解你的思路，但我仍然认为更贵的油漆是更稳妥的选择。这样可以避免异味问题，也体现对邻居的体谅。你同意吗？
kontrolna	problems	2. 粉刷公寓	不同意 - 其他原因	我理解你的观点，但我还是选择更贵的油漆，你也这样认为吗？
kontrolna	problems	2. 粉刷公寓	问题 1	你有问题很好！我认为在这种情况下值得考虑的不仅是自己的方便，也包括对他人的影响。持续一周的气味对邻居来说可能真的很困扰。
kontrolna	problems	2. 粉刷公寓	问题 2	好问题。我认为选择没有强烈气味的油漆，是对邻居表示尊重并避免楼内不必要问题的方式。
kontrolna	problems	2. 粉刷公寓	疑虑 1	我理解这种顾虑，但我认为装修不常做，所以多花一点钱来避免异味问题、维持和邻居的良好关系是值得的。你的决定是什么？
kontrolna	problems	2. 粉刷公寓	疑虑 2	我理解价格差异看起来可能不大，但仍然值得选择不会给他人造成困扰的方案。在这种情况下你会选哪一个？
kontrolna	problems	2. 粉刷公寓	我选择	我选择“购买更贵的油漆”这个选项。
kontrolna	problems	3. 办公楼休闲区	回答 1	我觉得这个空间对在楼里工作的人很重要。它提供了交流和短暂休息的空间，所以我选择加入干预小组这个选项。你怎么看？
kontrolna	problems	3. 办公楼休闲区	不同意 1	我理解另一种观点，但在我看来，这样的区域确实能帮助员工在白天喘口气。哪怕短暂停留，也能提升状态和效率。你同意这种看法吗？
kontrolna	problems	3. 办公楼休闲区	不同意 2	我尊重你的看法，但我认为休闲角比再增加一个技术仓库更有价值。设备存放空间可以在别处找到，而这个区域有助于团队融合和想法交流。你也这么看吗？
kontrolna	problems	3. 办公楼休闲区	不同意 - 其他原因	我理解你有理由持不同看法。即便如此，我还是会加入这个小组，你呢？
kontrolna	problems	3. 办公楼休闲区	问题 1	这是个有意思的问题。我认为值得保留这个空间，因为它让人们能在中性环境中短暂休息和交流，这往往会带来更好的办公室协作。你对此怎么看？
kontrolna	problems	3. 办公楼休闲区	问题 2	你问得很好。我认为这个空间不仅是休息区，也是一处员工自由交流想法的场所。
kontrolna	problems	3. 办公楼休闲区	疑虑 1	我理解有人会怀疑这种区域是否有意义，但在我看来它的存在很重要。这个空间有助于放松和创造力，哪怕只待几分钟，也能改善心情和同事关系。你同意吗？
kontrolna	problems	3. 办公楼休闲区	疑虑 2	我理解有人会觉得这个空间可有可无，但这样的共享空间有助于建立关系和营造更好的工作氛围。你认为什么方案更好？
kontrolna	problems	3. 办公楼休闲区	我选择	我选择加入干预小组这个选项。
kontrolna	problems	4. 抄近路	回答 1	我认为为了省几分钟而破坏公共空间并不值得。我选择不走捷径这个选项。你在这种情况下会怎么选？
kontrolna	problems	4. 抄近路	不同意 1	我理解很多人看重节省时间，但这片草坪是本地社区投入劳动与心力的成果。与其以他人为代价抄近路，不如尊重它。你同意吗？
kontrolna	problems	4. 抄近路	不同意 2	我尊重你的论点，但破坏草坪并不是好办法。有时多花几分钟，换来秩序与对公共环境的尊重，是值得的。
kontrolna	problems	4. 抄近路	不同意 - 其他原因	我认可你的观点，但我仍坚持自己的看法。你也认同吗？
kontrolna	problems	4. 抄近路	问题 1	这是个好问题。我认为选择更长路线是一种责任感，照顾公共空间比破坏大家都在使用的地方更重要。你也这么认为吗？
kontrolna	problems	4. 抄近路	问题 2	这是个有意思的问题。我认为更短的路不总是更好，有时候比起便利，更应遵循相互尊重的原则。
kontrolna	problems	4. 抄近路	疑虑 1	我理解会犹豫，因为每个人都想更快到单位，但破坏草坪的代价最终由所有人承担。最好避免这样做。你支持我吗？
kontrolna	problems	4. 抄近路	疑虑 2	我同意捷径很诱人，但有时尊重公共空间比节省几分钟更重要。爱护环境也是居民责任的一部分。你认为哪种做法更合适？
kontrolna	problems	4. 抄近路	我选择	我选择不走捷径这个选项。
kontrolna	problems	5. 火车上的安静	回答 1	我更愿意保持安静，不打扰别人。视频我可以稍后在更合适的环境里再听。这个决定也会是你的选择吗？
kontrolna	problems	5. 火车上的安静	不同意 1	我理解这个请求很紧急，但对其他乘客的尊重对我更重要。与其打扰车厢宁静，不如等一等。你同意这种做法吗？
kontrolna	problems	5. 火车上的安静	不同意 2	我知道朋友可能希望快速得到意见，但在火车上有一些基本的共处规则。安静和他人的舒适对我来说是优先项。你也这么认为吗？
kontrolna	problems	5. 火车上的安静	不同意 - 其他原因	我理解你的理由，但我仍坚持自己的看法，你呢？
kontrolna	problems	5. 火车上的安静	问题 1	这是个好问题。这是个好问题。我认为在他人身边最好不要播放视频，这关乎礼貌和对公共空间的尊重。
kontrolna	problems	5. 火车上的安静	问题 2	这是个有意思的问题。我认为稍微延迟给出反馈，比打扰整节车厢的风险更小。旅途中的安静本身也很有价值，你同意吗？
kontrolna	problems	5. 火车上的安静	疑虑 1	我理解会犹豫，尤其当有人期待快速回应时。即便如此，火车上的安静似乎仍比立刻回复更重要。你支持我吗？
kontrolna	problems	5. 火车上的安静	疑虑 2	我理解并非所有人都会支持我的决定，但打扰他人并不是正确做法。更好的方式是在合适的时候再听录音。你同意吗？
kontrolna	problems	5. 火车上的安静	我选择	我选择“不播放视频”这个选项。
kontrolna	right	affirmation	肯定-中性 1	很高兴我们在这个问题上看法接近。
kontrolna	right	affirmation	肯定-中性 2	我看到我们的观点比较一致。
kontrolna	right	affirmation	肯定-中性 3	很高兴知道我们看法相近。
kontrolna	right	affirmation	肯定-中性 4	很高兴你赞同我的看法。
kontrolna	right	affirmation	肯定-中性 5	很好，我们得出了相似的结论。
kontrolna	right	silence	沉默 1	你怎么看这个问题？你同意我吗？
kontrolna	right	silence	沉默 2	我听不到你。请告诉我，你的选择是什么？
kontrolna	right	silence	沉默 3	我想了解你的看法。你更倾向于哪个答案？
kontrolna	right	silence	沉默 4	在这种情况下你会怎么选？
kontrolna	right	silence	沉默 5	我需要知道你的决定，你选择什么？
kontrolna	right	misc	未达成一致	我们没有达成一致。
kontrolna	right	misc	最终答案	你的最终答案是什么？
kontrolna	right	off_topic	离题 1	这似乎不是我们当前合作的主题。你的回答是什么？
kontrolna	right	off_topic	离题 2	这个我们可以稍后再谈。请告诉我你的选择。
kontrolna	right	off_topic	离题 3	这很有意思。但我们可以回到任务上吗？你的回答是什么？
kontrolna	right	off_topic	离题 4	这是个不错的思路，但与当前主题无关。你在这件事上的回答是什么？
kontrolna	right	off_topic	离题 5	这个岔题很有意思，不过我们先把当前话题收尾吧。你选择什么？
