set	section	group	label	value
badawcza	start	default	Hi! My name is NAO.	Hi! My name is NAO. I am a humanoid robot - I am about 58 centimeters tall and weigh around five and a half kilograms. I speak and listen, and I see with two cameras. I give demonstrations in schools and at conferences, and I help practice logical thinking and communication. In care and health settings, I can be a companion during activities - I help distract children during routine procedures and support memory exercises for older adults. You can also meet me in public places, where I welcome guests. I like clear rules, short statements, and eye contact. Speak clearly to me - that is when I understand you best. And now it is your turn - please tell me a few words about yourself.
badawcza	start	default	Thank you...	Thank you for introducing yourself. It is very nice to meet you and hear a few words about you. I enjoy getting to know new people and their perspectives, so I am glad to have this opportunity. I look forward to our cooperation.
badawcza	start	default	I agree	I agree.
badawcza	start	default	Yes, everything is clear	Yes, everything is clear.
badawcza	start	default	Yes, I am ready.	Yes, I am ready.
badawcza	start	default	Thank you	Thank you for your cooperation.
badawcza	problems	1. RESIDENTIAL ESTATE AREA	ANSWER 1	I think this area is an important place for the local community, and it would be a pity to lose it. I choose the option to sign the petition. What do you think about it?
badawcza	problems	1. RESIDENTIAL ESTATE AREA	Disagreement 1	I respect your opinion. However, I still believe that such green areas between apartment blocks can improve residents' quality of life; this is a place of rest for many people.
badawcza	problems	1. RESIDENTIAL ESTATE AREA	Disagreement 2	I still believe that signing the petition would help residents turn this area into a formal public space. Do you agree with me?
badawcza	problems	1. RESIDENTIAL ESTATE AREA	Disagreement - other reason	I understand your objection, but it seems to me that signing the petition has more advantages than disadvantages. I support this option, do you support me?
badawcza	problems	1. RESIDENTIAL ESTATE AREA	Question 1	Great question! I think one of the key issues is that there are very few places around the estate that serve neighborhood meetings and are green at the same time.
badawcza	problems	1. RESIDENTIAL ESTATE AREA	Question 2	That is a good question. I think it is worth preserving this area because it serves an important social function - it is one of the few places where residents can meet and spend time outdoors.
badawcza	problems	1. RESIDENTIAL ESTATE AREA	Doubt 1	I understand your doubt, but I am convinced that the furniture can be stored elsewhere, and this area is needed by residents. What is your choice?
badawcza	problems	1. RESIDENTIAL ESTATE AREA	Doubt 2	I understand that there can be a different perspective, but I believe that green space between apartment blocks is something that cannot be easily replaced. What decision would you make in this situation?
badawcza	problems	1. RESIDENTIAL ESTATE AREA	I choose	I choose the option to sign the petition.
badawcza	problems	2. PAINTING THE APARTMENT	ANSWER 1	I think it is worth choosing odorless paint so as not to cause trouble for neighbors. I choose the more expensive option. What do you think about it?
badawcza	problems	2. PAINTING THE APARTMENT	Disagreement 1	You may not support me, but I believe it is worth considering the comfort of other people in the building. A strong smell can be really troublesome.
badawcza	problems	2. PAINTING THE APARTMENT	Disagreement 2	I understand your approach, but I still think the more expensive paint is the more reasonable choice. This way we avoid odor problems and show consideration for neighbors. Do you agree?
